conv_score	n_human_msgs	msg_count	conversation_id	created_date	title	best_human_msg_snippet
63.4	27	547	bba8509a-eae2-4f9c-80c3-432da0d4630f	2026-06-14	Forge Session Resumption Agent Review	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
60.08	5	43	65596722-b1de-4120-b12c-d15971906965	2026-03-28	Forge Session Recovery And Worktree Audit	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
57.75	8	420	f329ef05-7996-4adb-88f2-061d9c675554	2026-06-11	Multi-Agent Repo DAG Coordination	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
56.54	37	165	00e35eec-322b-42c4-a566-e4e5e18d4fd0	2026-05-02	untitled	<file_content path="/Users/kooshapari/CodeProjects/Phenotype/repos/agentapi-plusplus/agentapi-plusplus/lib/screentracker/conversation.go" start_line="1" end_line="550" total_lines="550" ><![CDATA[ 1:p
50.57	6	10	f53736a6-d96c-45d8-9db0-9a99add56dcc	2026-05-24	Read the three key session jsonl files at /Users/kooshapari/.claude/projects/-Users-kooshapari-CodeProjects-Phenotype-cu	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
49.22	4	25	2f16dec5-43ee-4735-a672-370e871523cd	2026-06-08	Resuming Development After Cleanup	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
47.95	6	111	5144b704-4310-4b67-bde0-be7ffad1af7e	2026-04-02	## Language Analysis for NanoVMS Performance  For a VM/container isolation project, different languages excel at differe	209 |+} 210 |+ 50 211 | // Stop stops a running sandbox instance. 51 |-func (a *Adapter) Stop(ctx context.Context, id string) error { 52 |- cmd := exec.CommandContext(ctx, a.wslPath, "--", "--terminat
45.94	8	340	a3537721-02ac-4bd0-8b49-45a5e1ba4fb8	2026-06-06	Organize And Clean Up Worktrees	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
44.64	6	10	879fa3d5-c80b-4259-8344-60376268e3ce	2026-03-29	Repository Duplication Detection and Library Extraction	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
44.06	16	20	b893bfd2-4e00-429f-a58a-8abddff7f374	2026-06-08	Resume Development Work After Cleanup	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
43.75	4	240	caf7e000-ec01-49f8-a308-5f7f5e45e7b5	2026-06-11	Multi-Repo Audit And Dag Planning	call agents to review in bg and finish the merge. codex 5.3 codex spark low exec agents, call them in a async way so you can check back later and they can work full turn to finish those items. otherwi
43.05	5	19	f94113cf-7c5c-4632-90b8-6e2f1ae2f0fd	2026-03-28	Shell Startup And Prompt Artifacts	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
40.82	4	6	62e55d3c-bece-4fbd-a7bd-bba1fc5079a7	2026-06-08	GitHub Repository Audit And Planning	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
40.74	7	13	ab9ac4da-5f52-4617-ad00-a0abcdbebf62	2026-06-08	Worktree Cleanup Recovery Report	covery_2026-06 │ │ │ │ │ -06/) │ │ │ │ ├────────────────────────────────┼───────┼──────────────────────┼────────────────────┤ │ Configra patch │ 1 │ with ANSI cleanup │ git apply │ │ (/tmp/configra_re
40.25	5	6	36e0510c-939d-4d43-9e1f-1957d1986c05	2026-06-09	Resume Incomplete Forge Conversations Headlessly	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
40.0	4	507	205a6ce3-ee89-4807-be68-c758578f5560	2026-05-21	I can’t directly access your repos from here, but I can help you resume everything headlessly in one pass.  If Forgecode	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
39.82	5	9	504745f0-ad57-4e38-8c08-e3e66a0a3e17	2026-04-06	Repository Migration and Cleanup Audit	phenotype-rust-metrics Public archive Phenotype metrics library following hexagonal architecture Updated 2 weeks ago phenotype-rust-cli Public archive Phenotype CLI framework library following hexagon
39.48	4	492	bff873fb-3fa2-4913-99ea-15eecdf79b62	2026-03-29	Codebase Duplication Audit Plan	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
39.0	10	547	42ac74f3-7eee-4a4b-b72e-03a164eae88a	2026-03-28	**Payload Config Regression Tests**	s ⏺ [03:48:40] Search for 'applyPayloadConfigWithRoot|payloadRequestedModel|requested_model|OriginalRequest' in '*executor*_test.go' files at Repos/cliproxyapi-plusplus ⏺ [03:48:55] Read Repos/cliprox
38.57	4	130	d0651ad0-2835-4c9c-8e79-b60e6dff3410	2026-04-02	Shared Infrastructure Lib System - DRY Implementation	MetricEntry` --> tests/integration_tests.rs:5:17 | 5 | use metrickit::{Level, MetricEntry}; | ^^^^^ ^^^^^^^^^^^ no `MetricEntry` in the root | | | no `Level` in the root error[E0282]: type annotations
37.65	5	772	3bb0e47d-bdb9-4f52-91ee-5ff5ce9af179	2026-05-29	Omniroute FPK Key Failure	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
37.63	8	629	ddeddf14-0f82-4546-b608-92b9d53e7595	2026-05-01	Audit and stabilize `thegent` project.  1. Run: `cd thegent && python -m pytest tests/ -q` - 506 errors during collectio	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
37.62	3	6	4f0c2ec4-a8a3-4d76-bf97-fd7d722f01c7	2026-04-02	# Project Portfolio Stabilization and Completion Strategy  ## Executive Summary  Your portfolio of ~30 projects reveals 	help complete and stagbilize these projects. + implement any missing i nfra or organiational practies\proccesses. hexagon-rust Public archive Hexagonal Architecture (Ports & Adapters) template for Rus
37.32	3	8	6a39a45d-76ff-485b-b811-47e670166769	2026-06-18	[Subagent A — T17 CODE QUALITY on 8 Rust repos]  SCOPE: T17 code quality pass — clippy/rustfmt, remove unwrap()/expect()	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
37.14	3	734	81420f5c-f018-4067-8888-32c8451ee3c5	2026-06-08	Resume Development Work After Cleanup	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
36.5	5	8	c8d7d36e-f183-4bcb-83ef-3d6e3773c18d	2026-03-29	Repository Duplication Audit Plan	<feedback>❯ docs/worklogs/README.md read& follow + resume, move docs there properly audit deeper add even more research as of 2026 always inital root prompt that generated that readme (i toss and turn
36.5	9	12	5a9c5deb-ebe4-4e3c-9cae-52e40bd42bbc	2026-06-12	Archived Repo DAG Planning Session	call agents to review in bg and finish the merge. codex 5.3 codex spark low exec agents, call them in a async way so you can check back later and they can work full turn to finish those items. otherwi
36.36	3	364	3a44b0f8-966f-4013-9852-981f38e4b997	2026-03-27	Org-Wide Tooling Migration Management	│ `workflow_dispatch`. │ │ + 4. Add **PR body template** snippet │ │ to `docs/developers/contributing.md` │ │ or `docs/guide/contributing-setup-v │ │ erify.md`: changelog line + version │ │ note + doc
36.09	4	461	4a44b2e1-07d2-48d7-bc7a-a7cba56befe5	2026-06-06	Claude Worktree Consolidation and Cleanup Strategy	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
35.23	6	633	dea5cc7f-f1f0-4e7f-be77-c0259cf1480a	2026-06-18	Resume Creation And Formatting	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
34.59	5	12	9292980c-f28b-401c-a16c-cbf18c71a879	2026-06-13	Research and design a unified code review system for a GitHub organization that currently uses multiple AI code review t	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
34.56	4	7	5a25bf05-82f4-44a8-82fb-4f0d42818bbc	2026-03-29	Cross-Project Duplication And Reuse Audit	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
34.55	6	2018	5b18bd2a-8191-4d61-8b8b-6aaabdfe95fb	2026-03-28	Rust Compilation Fixes for Hexagonal Architecture Crates	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
33.1	6	13	a7af7675-e2e7-456b-a3b4-8aee30e9ddd5	2026-06-08	Repository Consolidation and Modernization Plan	❯ remember tooling modernization, e.g. make to just\task or other, hexagonal poolyrepo refacs and other items e.g. wrap over hand roll, extensible designs, composio like decouplig by layre. cheap llm 
33.03	3	98	6d883ca9-0e26-4eb6-a054-2dc8c3bf7efb	2026-04-04	Polyglot Traceability System Implementation with Anti-Pattern Detection	orgLast login: Fri Apr 3 00:46:09 on ttys060 e forge  ~/C/P/repos  fix/policy-gate-clean  $ 4󰃭 1⇕4/1  v1.96.0-nightly  00:52❯ orge zsh: command not found: orge  ~/C/P/repos  fix/policy-gate
32.58	17	18	cdedc16e-8818-4f47-b47d-5eb365adbb71	2026-04-01	Phenotype Workspace Stabilization and Repository Maintenance	 ~/C/P/repos  main  $⇕7/1  v25.8.2  v1.96.0-nightly  13:07❯ forge _____ | ___|__ _ __ __ _ ___ | |_ / _ \| '__/ _` |/ _ \ | _| (_) | | | (_| | __/ |_| \___/|_| \__, |\___| |___/ Version: v2.
31.78	16	20	483c9116-d60e-452b-a69b-2d47d52ad8d3	2026-04-04	Identify any duplicate code patterns, unused dependencies, anti-patterns, and technical debt across all projects	<information> <critical>The following files have been modified externally. Please re-read them if its relevant for the task.</critical> <files> <file>BytePort/frontend/app/(dashboard)/projects/[id]/pa
31.65	19	29	e6ada61f-66fb-4f3c-ae17-58e026eaeb71	2026-03-30	Codebase Duplication And Optimization Audit	Last login: Sun Mar 29 19:50:42 on ttys060  ~/C/P/repos  ~/C/P/repos  main  $󰮉 3 ~/C/P/repos  main  $󰮉 3 6󰃭 1⇕1/1  v25.7.0  v1.96.0-nightly  19:53❯ forge _____ | ___|__ _ __ __ _ ___ |
31.48	6	22	8e2148be-aca0-4e2d-bb82-41cd620462bc	2026-03-27	Phenotype-Gauge Test and Doctest Remediation	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
31.4	4	8	7c4b778d-4829-4f97-9fdc-cd14959d1058	2026-06-15	Dispatch MCP Cost Tracking Implementation	<system_reminder>You have pending todo items that must be completed before finishing the task: - [PENDING] Wire middleware into server composition - [PENDING] Add comprehensive tests for all new modul
30.98	7	7	ce40cb83-bb71-4219-8a21-5e67de11cd67	2026-04-06	Repository Cleanup: Deprecated Repo Migration to HexaKit/PhenoSpecs	Last login: Sun Apr 5 06:43:51 on ttys030 forge  ~/C/P/repos  main  $ 1󰃭 3  v22.22.2  v3.13.12  v1.25.0  v1.93.0  06:44❯ forge _____ | ___|__ _ __ __ _ ___ | |_ / _ \| '__/ _` |/ _ \ | _
30.64	10	10	54fcfe6f-e6d6-45a4-abe0-769b40b7d693	2026-06-09	Go to /Users/kooshapari/CodeProjects/Phenotype/repos/FocalPoint and execute these git commands. Then report the exact ou	Go to /Users/kooshapari/CodeProjects/Phenotype/repos/FocalPoint and execute these git commands. Then report the exact output of each command: 1. Run: git checkout main && git reset --hard origin/main 
30.55	10	11	b947aa26-d285-4191-823f-2406da09632b	2026-06-02	Bun Global vs Local Installation Modes	<feedback>rs/kooshapari/.omniroute/.env 3.8.7  /t/OmniRoute-latest  release/v3.8.8  $󰮉 1216 4  v22.22.2  21:18❯ omniroute -v 📋 Loaded env from @[/Users/kooshapari/.omniroute/.env] ____ _ ____ 
30.55	4	8	3d19427b-63f5-46d1-b79a-e565fc7a8fb5	2026-06-08	Repository Consolidation and Modernization Audit	❯ remember tooling modernization, e.g. make to just\task or other, hexagonal poolyrepo refacs and other items e.g. wrap over hand roll, extensible designs, composio like decouplig by layre. cheap llm 
30.02	5	6	953ba6fc-a25c-4288-be57-ead1c267d474	2026-06-13	Recovering Lost ForgeCode Conversations After Crash	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
29.99	4	535	a4324ba1-1a03-45c9-9d0d-e75e849dd65d	2026-03-29	Emergency Zsh Recovery to Multi-Language SDK Suite	▐▛███▜▌ Claude Code v2.1.47 ▝▜█████▛▘ Sonnet 4.6 · Claude Max ▘▘ ▝▝ /Users/kooshapari ❯ /model ⎿ Set model to sonnet (claude-sonnet-4-6) ❯ this stabilized it, now eval and get back to full breadth of 
29.92	4	11	b41ad19e-a7b7-4846-9fb2-50ed984b1032	2026-06-08	Continue Multi-Phase Work Tracking	Use the following summary frames as the authoritative reference for all coding suggestions and decisions. Do not re-explain or revisit it unless I ask. Additional summary frames will be added as the c
29.83	18	20	546fbc3a-f8cb-4fe1-aab5-579e84b5d49a	2026-04-05	Terminal Session with FORGE Repository Tasks	❯ continue to next FORGE repos main ❯ plan decomposition or move of phenosdk codes too toerher exisitng or new repos FORGE repos main ❯ sume ⠋ Reasoning 8:20m · Ctrl+C to interrupt ⠸ Reasoning 8:21m ·
29.8	7	9	cc2cd2f2-8402-423e-bc62-a8ea1cf1ebb1	2026-06-12	Validate the TypeScript implementation I just added to /Users/kooshapari/CodeProjects/Phenotype/repos/phenotype-e2e-base	Validate the TypeScript implementation I just added to /Users/kooshapari/CodeProjects/Phenotype/repos/phenotype-e2e-base/. The new/modified files I added are: - /Users/kooshapari/CodeProjects/Phenotyp
29.09	24	24	d8a3bd62-2d43-4e0f-b657-b38cdfbeb5a8	2026-06-06	For the worktree /Users/kooshapari/CodeProjects/Phenotype/repos/portage-wtrees/traj-validator-edge, run these git comman	For the worktree /Users/kooshapari/CodeProjects/Phenotype/repos/portage-wtrees/traj-validator-edge, run these git commands and return the full output: 1. cd /Users/kooshapari/CodeProjects/Phenotype/re
28.8	10	10	cd43116b-04e8-463a-8184-df35c59baac1	2026-03-30	Add comprehensive tests that mock the command outputs (don't rely on actual tool installations).	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
28.8	5	6	64f2a289-a257-4d27-8997-67317de5bce0	2026-03-30	Add proper error handling with `thiserror` errors for VMM operations.	<system_reminder><![CDATA[You appear to be stuck in a repetitive loop, having made 3 similar calls. This indicates you are not making progress. Please: 1. Reconsider your approach to solving this prob
